player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,team_abbreviation,season,composite_score,role
Nikola Vucevic,30.0,213.36,117.93392,367,19.8,11.32,3.5200000000000005,-0.8399999999999999,0.06739999999999999,0.27859999999999996,0.2576,0.5618,0.17919999999999997,CHI,2022-23,10.467400000000001,Scorer
CJ McCollum,29.0,190.5,86.18248,324,21.86,4.16,4.58,2.48,0.021,0.09619999999999998,0.2598,0.553,0.2036,NOP,2022-23,10.337,Scorer
Jamal Murray,23.75,193.04,93.893544,247,19.475,4.05,5.15,6.125,0.02425,0.09899999999999995,0.24725,0.565,0.22749999999999998,DEN,2022-23,10.29625,Playmaker
De'Aaron Fox,23.0,190.5,79.3786,322,22.36,3.84,6.6,-1.78,0.0162,0.0972,0.2808,0.563,0.3038,SAC,2022-23,10.218,Playmaker
Chris Paul,36.0,182.88,79.3786,322,15.64,4.5600000000000005,8.7,6.8,0.013599999999999978,0.1256,0.2122,0.5810000000000001,0.38680000000000003,PHX,2022-23,10.107000000000001,Playmaker
Klay Thompson,31.333333333333332,200.66,97.52228,179,21.266666666666666,3.933333333333333,2.533333333333333,4.233333333333333,0.015666666666666666,0.09866666666666662,0.26466666666666666,0.5646666666666668,0.12033333333333333,GSW,2022-23,10.002333333333334,Scorer
Anthony Edwards,20.0,193.04,102.0582,223,21.733333333333334,5.1000000000000005,3.6999999999999997,0.3,0.021,0.12433333333333334,0.27266666666666667,0.549,0.169,MIN,2022-23,9.972000000000001,Scorer
LaMelo Ball,20.0,198.12,81.64656,162,19.7,6.333333333333333,7.366666666666667,-2.1,0.03799999999999997,0.155,0.26899999999999996,0.5446666666666666,0.3383333333333334,CHA,2022-23,9.969,Playmaker
Shai Gilgeous-Alexander,22.0,198.12,82.10015200000001,311,21.880000000000003,4.64,4.779999999999999,-1.98,0.020200000000000003,0.11320000000000001,0.2632,0.5856,0.236,OKC,2022-23,9.9078,Playmaker
Bam Adebayo,23.0,208.28,115.66596,349,16.6,9.16,3.8600000000000003,3.2,0.0766,0.21779999999999994,0.2202,0.6094,0.1954,MIA,2022-23,9.8922,Rebounder
Tobias Harris,28.0,205.74,106.59412,363,18.2,6.82,3.1,3.88,0.029000000000000005,0.16879999999999998,0.2184,0.5826,0.1436,PHI,2022-23,9.7738,Rebounder
Deandre Ayton,22.0,215.9,113.398,303,16.82,10.5,1.64,2.36,0.10299999999999995,0.2378,0.2136,0.6204,0.0824,PHX,2022-23,9.689200000000001,Rebounder
Fred VanVleet,27.0,182.88,88.45044,304,17.560000000000002,3.8200000000000003,6.32,4.64,0.0128,0.09539999999999997,0.21800000000000003,0.5436,0.266,TOR,2022-23,9.622800000000002,Playmaker
Malcolm Brogdon,28.0,195.58,103.872568,277,17.46,4.8,5.16,3.44,0.02839999999999996,0.1204,0.2344,0.5776,0.2544,BOS,2022-23,9.4788,Playmaker
Jonas Valanciunas,29.0,213.36,120.20188,334,15.9,10.8,1.9,1.46,0.11100000000000002,0.28179999999999994,0.23379999999999995,0.622,0.11199999999999996,NOP,2022-23,9.395,Rebounder
Kyle Lowry,35.0,185.42,88.904032,287,15.079999999999998,4.76,7.220000000000001,4.68,0.019200000000000002,0.11799999999999997,0.193,0.5820000000000001,0.3006,MIA,2022-23,9.367999999999999,Playmaker
